"","flat","single","diff"
"1",6794.7,6782.1,6785
"2",2029.4,3271.4,4298.8
"3",4765.3,3510.7,2486.1
"4",676.46,1090.5,1432.9
"5",880.14,20.828,1674.4
"6",718.42,209.9,1049.6
"7",430.82,3040.6,1574.8
